match_hash,tourney_name,tourney_date,is_hard,is_clay,is_grass,is_bo5,p1_name,p2_name,p1_height,p1_lefty,p1_age,p1_home,p1_rating,p1_dev,p1_surface_rating,p1_surface_dev,p1_recent_rating,p1_w,p1_l,p1_surface_w,p1_surface_l,p1_inactive_days,p2_height,p2_lefty,p2_age,p2_home,p2_rating,p2_dev,p2_surface_rating,p2_surface_dev,p2_recent_rating,p2_w,p2_l,p2_surface_w,p2_surface_l,p2_inactive_days,p1_win,p1_odds,p2_odds
2020Cet81Ten68638803,Doha,20200106,1,0,0,0,Corentin Moutet,Tennys Sandgren,178,1,20.7,0,1672.8440045280686,211.16593746444784,1672.8440045280686,211.16593746444784,1667.5290877193054,3,1,3,1,0,188,0,28.4,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.6,2.47
2020Fco49Par641025867,Doha,20200106,1,0,0,0,Fernando Verdasco,Pablo Andujar,188,1,36.1,0,1484.792668190142,246.45166015060911,1484.792668190142,246.45166015060911,1482.537448745922,1,1,1,1,0,180,0,33.9,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.31,3.74
2020Fic40Knd691148800,Doha,20200106,1,0,0,0,Filip Krajinovic,Kyle Edmund,185,0,27.8,0,1261.6746568249239,285.4812127718746,1261.6746568249239,285.4812127718746,1261.6746568249239,0,1,0,1,0,188,0,24.9,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.9,1.99
2020Mcs70Foe477901050,Doha,20200106,1,0,0,0,Frances Tiafoe,Marton Fucsovics,188,0,21.9,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,188,0,27.9,0,1458.928516166279,253.60683195445006,1458.928516166279,253.60683195445006,1455.348590625066,1,1,1,1,0,0,1.86,2.03
2020Cel279Ris67144804,Doha,20200106,1,0,0,0,Cem Ilkel,Ricardas Berankis,185,0,24.3,0,1243.5647207978982,289.9142098214105,1243.5647207978982,289.9142098214105,1243.5647207978982,0,1,0,1,0,175,0,29.5,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,3.34,1.37
2020Mic62Jon63881878,Doha,20200106,1,0,0,0,Jordan Thompson,Miomir Kecmanovic,183,0,25.7,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,183,0,20.3,0,1626.7441090439947,227.48092585359683,1626.7441090439947,227.48092585359683,1624.4488584269689,2,1,2,1,0,0,2.21,1.74
2020Lre39Lgo511151990,Doha,20200106,1,0,0,0,Lorenzo Sonego,Laslo Djere,191,0,24.6,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,188,0,24.5,0,1297.342518884534,283.21677942802745,1297.342518884534,283.21677942802745,1297.342518884534,0,1,0,1,0,0,1.4,3.18
2020Prt65Mto75840690,Doha,20200106,1,0,0,0,Pierre Hugues Herbert,Marco Cecchinato,188,0,28.8,0,1554.0824143422763,254.5401984288242,1554.0824143422763,254.5401984288242,1553.0781811125632,1,1,1,1,0,185,0,27.2,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.57,2.55
2020Min66Mri229816206,Doha,20200106,1,0,0,0,Malek Jaziri,Mikhail Kukushkin,185,0,35.9,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,183,0,32.0,0,1422.1707121911409,295.098301088981,1422.1707121911409,295.098301088981,1422.1707121911409,0,1,0,1,0,0,3.74,1.31
2020Aev18Lis911799594,Adelaide,20200113,1,0,0,0,Andrey Rublev,Lloyd Harris,188,0,22.2,0,1852.3030350991776,225.03313079162012,1852.3030350991776,223.02446043848735,1835.058238908539,4,0,4,0,7,193,0,22.8,0,1360.7560511269685,216.74112809184666,1360.7560511269685,214.65487790061113,1357.6192772502304,1,2,1,2,7,1,1.32,3.8
2020Lis91Tul90594600,Adelaide,20200113,1,0,0,0,Tommy Paul,Lloyd Harris,185,0,22.6,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,193,0,22.8,0,1342.2824957024372,208.2812493120655,1342.6686278238813,206.43366312004835,1344.162513746241,1,3,1,3,0,0,1.81,2.15
2020Aev18Fme2217991656,Adelaide,20200113,1,0,0,0,Andrey Rublev,Felix Auger Aliassime,188,0,22.2,0,1871.821069862126,215.56172134148622,1871.4365050507456,213.79962550246057,1832.3060822407165,5,0,5,0,0,193,0,19.4,0,1340.3091321999427,209.6796375456718,1340.3091321999427,207.52240939542963,1343.3386999824277,1,3,1,3,7,1,1.46,3
2020Lis91Pta305941377,Adelaide,20200113,1,0,0,0,Lloyd Harris,Pablo Carreno Busta,193,0,22.8,0,1436.7954844708456,194.69740670151444,1435.6729451735914,193.18789438383612,1432.3086010117136,2,3,2,3,0,188,0,28.5,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,2.83,1.5
2020Aev18Dns3317991324,Adelaide,20200113,1,0,0,0,Daniel Evans,Andrey Rublev,175,0,29.6,0,1611.8090474004641,216.12573972885468,1611.8090474004641,214.03349124224613,1613.4287586409796,3,1,3,1,7,188,0,22.2,0,1886.9402441120164,208.4367133294319,1886.2868091458736,206.84286712467377,1828.3017184235719,6,0,6,0,0,0,2.87,1.49
2020Fme22Alt1571656332,Adelaide,20200113,1,0,0,0,Alex Bolt,Felix Auger Aliassime,183,1,27.0,1,1554.9787015750535,235.29915417506518,1554.9787015750535,233.3788592728594,1547.0981676191616,2,1,2,1,7,193,0,19.4,0,1325.7826396401344,203.12014041740366,1326.0872615308708,201.15955759566094,1334.3842087433718,1,4,1,4,0,0,2.97,1.47
2020Tul90Pas446001097,Adelaide,20200113,1,0,0,0,Tommy Paul,Pablo Cuevas,185,0,22.6,0,1424.273234664362,249.03980797232393,1423.8517002281055,248.84129041329263,1420.390396340671,1,1,1,1,0,180,0,34.0,0,1146.4651284750028,208.66214680095732,1146.4651284750028,206.49428928564652,1124.7725418926952,0,3,0,3,7,1,1.52,2.74
2020Pta30Jdy561377920,Adelaide,20200113,1,0,0,0,Jeremy Chardy,Pablo Carreno Busta,188,0,32.9,0,1469.1396605396164,252.66128671451483,1469.1396605396164,250.87392412172747,1466.4045993753155,1,1,1,1,7,188,0,28.5,0,1298.397369356914,267.1669813726463,1297.7194115806276,266.98154022099106,1298.397369356914,0,1,0,1,0,0,2.06,1.85
2020Lis91Lre405941165,Adelaide,20200113,1,0,0,0,Lloyd Harris,Laslo Djere,193,0,22.8,0,1508.859960857495,182.69917148159743,1506.900578783275,181.46303135491203,1500.0954932679142,3,3,3,3,0,188,0,24.6,0,1466.1541390836626,257.705032513912,1466.1541390836626,255.95289367966998,1462.8576474826943,1,1,1,1,7,1,1.46,2.94
2020Dns33Aik551324934,Adelaide,20200113,1,0,0,0,Alexander Bublik,Daniel Evans,196,0,22.5,0,1423.442373367989,269.29602745845546,1423.442373367989,267.61978702051385,1417.338252149972,1,1,1,1,7,175,0,29.6,0,1571.6603676539844,199.23737398421517,1572.250358879121,197.5328290268123,1578.2607010469926,3,2,3,2,0,0,2.29,1.7
2020Aev18Sey4517991080,Adelaide,20200113,1,0,0,0,Andrey Rublev,Sam Querrey,188,0,22.2,0,1924.780569697542,193.38656946669948,1923.6908963140136,192.0420954263434,1861.324131161796,7,0,7,0,0,198,0,32.2,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.64,2.42
2020Alt157Jff373321270,Adelaide,20200113,1,0,0,0,Jan Lennard Struff,Alex Bolt,193,0,29.7,0,1554.082551362272,234.7964333994212,1554.082551362272,232.87199302854953,1559.8313094652633,2,1,2,1,7,183,1,27.0,1,1392.5150475885018,211.32213120355888,1394.2725995035833,209.83575377232486,1400.2448631325353,2,2,2,2,0,0,1.31,3.83
2020Fme22Jth961656576,Adelaide,20200113,1,0,0,0,Felix Auger Aliassime,James Duckworth,193,0,19.4,0,1446.9705916444286,188.16002363320314,1445.597148725936,186.53992843579672,1437.9278938920068,2,4,2,4,0,183,0,27.9,1,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.6,2.5
2020Tul90Ane54600950,Adelaide,20200113,1,0,0,0,Aljaz Bedene,Tommy Paul,181,0,30.4,0,1549.2711070509192,239.4575728410404,1549.2711070509192,237.57089297917403,1539.1992957912198,2,1,2,1,7,185,0,22.6,0,1474.5897352561756,224.17761933117293,1474.1266265093843,223.9252636587153,1469.8300496580086,2,1,2,1,0,0,1.94,1.94
2020Pas44Rka3810971227,Adelaide,20200113,1,0,0,0,Pablo Cuevas,Reilly Opelka,180,0,34.0,0,1108.55105802951,194.50756459774564,1109.1821713704724,192.73836992669402,1096.2747967509927,0,4,0,4,0,211,0,22.3,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,3.79,1.31
2020Jdy56Gon60920890,Adelaide,20200113,1,0,0,0,Gilles Simon,Jeremy Chardy,183,0,35.0,0,1613.7200232339637,289.0916506901854,1613.7200232339637,287.5308374744806,1613.7200232339637,1,0,1,0,7,188,0,32.9,0,1318.8462472789454,224.51195621454946,1320.305462205446,223.27259937892023,1323.1776792192884,1,2,1,2,0,0,2.17,1.76
2020Lre40Ain951165585,Adelaide,20200113,1,0,0,0,Laslo Djere,Alexei Popyrin,188,0,24.6,0,1360.9636093288098,217.37498055342638,1361.3896866427904,216.18788222839189,1364.3044891341158,1,2,1,2,0,196,0,20.4,1,1543.7857501082658,253.43373382920714,1543.7857501082658,251.65185761804628,1542.7986859758464,1,1,1,1,7,1,3.16,1.4
2020Lis91Cin365941285,Adelaide,20200113,1,0,0,0,Cristian Garin,Lloyd Harris,185,0,23.6,0,1256.6865208538084,241.58957162740924,1256.6865208538084,239.71967194853883,1267.099743198343,0,3,0,3,7,193,0,22.8,0,1566.8404049484814,169.56239625558845,1564.5758165580594,168.5058346645639,1555.6942481719548,4,3,4,3,0,0,2.1,1.81
2020Aik55Ttz329341335,Adelaide,20200113,1,0,0,0,Taylor Fritz,Alexander Bublik,193,0,22.2,0,1331.6308274888022,213.02529928105383,1331.6308274888022,210.9022952311865,1322.7044115598135,1,2,1,2,7,196,0,22.5,0,1339.578603903228,229.54077322338816,1340.4658799845954,228.40142182248837,1343.8162555347928,1,2,1,2,0,0,1.6,2.48
